,commuting_no_car,commuting_car,business_no_car,business_car,education_no_car,education_car,buy/execute_no_car,buy/execute_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
ASC0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b_pop,2.4604178015841573,4.265265472514877,2.8958128389890754,3.9506486094999707,2.2386319949210307,3.9838125208146757,2.7363568590916243,3.556333543549403,2.298018864165613,3.11518065100791,2.014827619673261,3.9382508544526846
b_attr,1.7737601538555816,2.2369168598734195,1.7863924393086446,2.227702346058479,1.4963603013571034,2.0570728401608696,2.328659996838879,2.628318921692771,2.1233557855014187,2.5676191631337564,1.66975100101792,1.987561226743497
ASC1,30.54609795176498,34.93477786359143,42.28359237052448,24.986957430986273,30.879757952781727,36.38462098735237,23.104833708847465,36.840933072227806,31.29216737909701,27.64780006144917,0.0,39.86834391462362
b_acc,-0.9296032011510502,0.0,0.0,-0.8897136634517313,-0.5013798551137538,0.0,-0.6643861286075194,-0.8596935029956511,-0.8955591543256413,-0.9712270851685638,-1.0,-0.6913702072466797
