,errands_car,errands_no_car,shopping_car,shopping_no_car,commuting_car,commuting_no_car,education_car,education_no_car,leisure_car,leisure_no_car,accompany_car,accompany_no_car,business_car,business_no_car
110000000,3.4634090940407223,4.264397806538641,3.990037612756024,4.8961290155812245,2.776342881324134,1.3862943611198923,3.1570672904218977,2.597997219127851,2.190697391300324,1.6956452390680974,3.5808698358222775,2.366593636705103,2.004060144103641,2.037810237561774
33560007,2.922812739523776,,4.826087139855035,,2.6746192416045464,,,,2.0054838440348908,,,,1.6261349761230872,
160685006,5.348571402538342,,8.810232166586738,,3.6349769588086858,,4.065542505430202,,2.932562972122688,,6.6308316833235095,,2.632542859767442,
10030000,3.706572022700517,5.676425704474863,5.125533124179908,6.646363143278498,2.99938233149166,1.3862943611198906,3.461016888725319,2.3796607539185706,2.2302236900972625,1.7397450301909865,4.106849083401255,3.8190427154825617,1.9970747672466622,
91610000,3.668195803533966,4.259177450613643,5.003215912550064,7.66792702544694,2.870496202557857,1.3862943611198906,3.358105155361259,,2.166481007581619,1.72449104970449,4.093289625021985,,1.9149498799556481,
10560015,3.50897419728512,,4.126658378427995,7.623493449892461,2.677990686597842,,2.437556565885438,,2.097470786212273,1.44444104474557,3.046512017791655,,1.718193883676014,
53580008,3.0149994528637527,2.3862692993520054,3.757620674715848,,2.8175627343599063,,2.630329542225368,,2.057566467350707,1.5401813593232456,3.7832748764102493,,1.9181540599468707,
83365003,2.5938886072676786,,3.3998665477044137,2.6185730050497735,2.59208601665107,1.3862943611198906,2.3540466909170443,,1.8648664263422736,1.3862943611198906,3.3515879955514296,,1.9627760099981837,
59620032,3.1615522329555157,,5.304280032783937,,2.702219973090649,,3.836930850306612,,1.8498634937865326,,3.8091035557745423,,2.1472429360591745,
66110000,3.1980119781406136,3.5979119675441518,3.9013904725403306,4.796709856245337,2.645056716498903,1.3862943611198892,2.8791041234377888,1.9300959393461141,1.9843742948675995,1.6267912158446567,3.276137772347898,2.9301081321464366,1.8650466931395557,2.1804852481329338
66320003,3.3974251819467995,,5.101627380642524,,3.295263766787362,,2.3965223227272894,,2.3483849617046073,,3.9269310965919737,,,
83260052,3.39760602871025,,3.514094248517221,,2.6747353990441707,1.3862943611198906,,,1.7872825702248194,,3.6264604541867893,,,
73320025,3.1506289535477534,,3.8023015246307317,,2.9364947638627035,,,,,,3.9100820145067297,,,
81110000,3.2807948748429148,4.178202105241393,3.8434196558334803,4.222490866755137,2.568469506888128,1.38629436111989,2.963607004120841,2.553460190855482,2.106970078932821,1.708924710587274,3.4546260111134837,2.830155493558334,1.9653178911753504,2.272434677745134
91780145,3.586832842640622,2.5504253944752038,4.398753397089024,,3.2043790040589877,,3.3015917769743743,,2.1737829118026526,,3.301250239737694,,,
59150000,4.262679293913218,3.2928731702120775,5.630159620561455,,3.14020152089306,,3.163301994984377,3.8650756523551486,2.3426184696951444,1.9635276467294522,3.8238529438856506,,2.137863816304912,
83360091,2.6993984914294815,,3.0800252137146025,,2.611652456354634,,3.654282210728423,,1.8515266519031466,,3.1526208580108896,,,
96760139,2.893974701327282,,3.662510400211642,,2.8123529491396297,,2.281350069999836,,2.1101956981206325,,,,2.2155434517320685,
95630000,3.0812159317942776,3.3714737497486906,3.6050519005426853,5.50353984340186,2.7058658549881867,1.3862943611198906,2.7724590916631473,,1.9313690490342106,1.6020961131557057,3.3741527606209987,,1.7783950407414912,
84160041,3.3174828540551107,2.6027462726711823,3.7420435874037197,4.693702507382899,2.6893221001887295,1.3862943611198906,2.7992470933453655,,2.0840516786051886,1.4967027444536236,3.6477650172834073,,2.004262167396497,1.4531359653103437
97610000,3.5075431829568213,3.5568960368992544,4.56782939385393,5.330858104673871,2.7508840667134056,1.3862943611198906,3.1560830534918916,2.266646466134969,2.140539348820236,1.6522030179753955,3.7949456207572307,1.9213050296081946,2.0830704650179888,
96760145,2.738042104183348,,3.6539832356576,,2.74426483430067,,,,2.0782822363981883,,3.1059992335057016,,1.769862909003221,
71330006,2.964310716276719,2.5504253944752038,3.4261540489072337,,2.80413606052681,1.3862943611198906,2.5423650893896927,,2.0665723965667295,,3.147197829722794,,2.0130874625722375,
96610000,2.9091773724039154,3.0892383141367397,3.6325060483006433,3.5271335546733376,2.7092509848263764,1.3862943611198906,2.6661480888365023,,1.9255414971687634,1.4990746992043986,3.3447915461286764,,1.795047931821685,
51660032,2.8605119945866266,,4.415560247045376,,,,2.9576309145021593,,2.224135807519213,,3.6806328332844442,,,
96785642,5.985062437583915,,8.092792638259535,,3.5312079493081314,,5.429774211772894,,2.964441327459271,,6.237358310042449,,2.2512191513836886,
53340012,3.1611499716259734,2.2527296463398723,3.9376795416375816,2.436232669009464,2.897652855831883,,3.1248160945734362,,1.9958491655229105,1.443523499554975,3.6850112748995962,,1.8106334922330487,
94710159,5.678307472863171,,8.563335984773605,,3.736125585810782,,5.329199906296797,,2.833027606432951,2.578832682014643,6.0849404107377785,4.925989621914804,2.510813105297076,
93620000,3.4937974708268165,3.1285279106120836,4.506517784619136,5.78388361006325,2.806092969988825,1.3862943611198906,3.1722980110988073,2.635738606645407,2.1034484680194283,1.6839334971473754,3.744540455524642,1.8315788763241903,1.869077715799257,1.815906696299896
95610000,3.3522671364446968,6.070748534973506,4.361534398160426,5.570596174462175,3.267596811493088,,3.1118628465614364,,2.1175559639275585,1.417326705556442,3.7541851233040338,,1.9413951948411288,1.7671400995958813
93760161,3.0226848165607447,,5.100789227349366,,3.2666887237904296,,2.4312946650382314,,2.4336642780815816,,4.847926421769703,,2.014826761600926,
94620000,3.3754741114749947,,4.916969972742654,3.705189487065361,3.102838666909607,,3.5417543447345525,,2.176218282541071,,4.092928017452506,,1.6802799400639985,
91790121,2.8624251864794457,2.915052140247396,3.4939505752228737,5.249720064561213,2.771092312683777,1.3862943611198906,2.8182026446116986,,1.9189699856688576,1.6708752723960356,3.013359830835787,,1.709912022423366,
55150000,3.756709665912028,5.7723288008964335,4.569147477877089,6.449793973981059,2.895137369800798,1.3862943611198906,3.5877652426950584,2.5380738149166873,2.221394858775747,1.7517918967300874,4.104511747554173,,2.2397032841512003,1.4660385303850203
93745323,6.145023046966512,,8.620409096625266,,4.032441346676071,,5.133951339951796,,2.5186383529175083,,6.642739054134192,,,
57540028,3.0937357016187033,,4.291296622211296,,2.855099077372417,,2.411572236421559,,1.9759924615044198,,3.1919336720096223,,1.8492456708321845,
59700040,3.2126900598299826,,4.042161776923741,,2.7115993397216176,1.3862943611198906,2.7701328634252094,,2.049076916115951,,3.4292509774419875,,1.923269156070641,1.7057403426420499
93730167,7.323096477892401,,10.163098106466746,,4.409788714711045,,6.554350323605457,,3.1726675528126975,,7.987417781121703,,2.783855718680334,
91850149,3.273237569191427,,4.495701335133126,,3.3443951623197723,,2.80099794507664,,2.0464152652916248,,4.229465076776633,,,
73385008,4.145410734803917,,5.312388031909648,,3.1872997469804654,,,,2.393374735246509,,5.777180940609545,,,
53700016,3.833000731935287,,4.287952385560819,,3.0813686029270237,,3.1271082068916907,,2.138852441393433,,3.8909783666349846,,2.009853896792166,
82150108,2.8512337498620743,,2.838705230072968,,2.664790946384875,,2.318819035598291,,1.8903610755601552,,3.11050873802236,,1.6433616973987188,
53620012,2.9482497006928736,5.087844288766513,3.5762771878991364,5.1199032482201225,2.941396577948919,1.3862943611198906,2.9310631189284213,,2.017768047170596,2.0863036948588465,3.3065863060195184,,1.7300674720304048,
57700020,3.5867250068570766,,4.020070414717472,,3.0483381634991735,,4.098683411095988,,2.2698817283707857,,4.675111224637621,,,
150020000,3.0589983780588406,8.025154522701625,4.005078420018962,6.6605604877764195,2.8772960654487183,1.3862943611198906,2.5466759550591287,2.6608100883439127,2.031910549683946,1.5954822758884548,3.6294823506516893,,1.9023576369848678,1.9193197487241274
57540008,3.2013250074088746,,4.100273850665114,,2.8965017873274372,,3.9520762488441328,,2.167584363036123,1.7431040539056617,3.762773501789787,2.9480936399536635,1.8168759873558793,
33520011,4.25988696261207,4.378043466699895,5.94068930226723,4.913667861507593,3.3608098808802795,1.3862943611198906,4.7725373071532875,,2.3641538224834786,,4.687381298949573,,2.0781311351446443,1.4548526291992483
64320004,2.8954685859593337,,3.27811357500635,3.8415294674932357,3.261024359392994,,2.1593049204167665,2.229390365536533,1.8650561402870898,,2.9323408415138505,1.905188760174561,1.7213075262116828,
73315006,4.142238298456339,,5.994513833905828,,3.303019505762628,,3.900868812758655,,2.3188837244484293,,3.517679972284207,,,
32410016,3.8357835337023243,,5.345423150513555,4.13097312147362,3.0656669070605935,,4.025658203951151,,2.3328852191796976,,5.417660615278549,,,
66350002,4.339839570077667,,5.08976024972063,,3.305499062550138,,2.900963908401855,,2.5161467688888792,1.531857460234148,5.448657704684689,,2.0448117575820546,
81180048,3.178276070704368,3.91951624983703,3.932480289061465,4.737943975710472,2.777138927631379,1.3862943611198906,3.4613398160234277,2.3645317081993236,2.0235010694131996,1.4413266313773931,3.693232884282508,2.188366775542967,1.8746538012469434,1.69964641355192
96630000,3.7971743341204087,3.3625383195303553,5.062319546092156,5.502170129604212,2.7827065565450524,1.3862943611198906,3.2167567660284844,2.1721154849160724,2.2102328283861876,1.5751010014881113,3.8531284815439606,,2.032296114623265,
82265002,3.5470499726206217,,2.7957384009308206,,2.640495171988775,,,,2.2307137859434794,,3.558261570886611,,,
95620000,3.612392169109217,3.4630992181304237,4.384604582203847,4.766778708780938,2.8478290113142744,1.3862943611198906,3.4044450150974197,2.6293855300530464,2.1427999687975,1.631730495788467,3.771555553611025,3.4789143586472946,1.965352649374876,1.5827854371245111
81195001,,,4.687486014042797,,2.82567882782468,,,,1.9710574219017623,,3.618401277613081,,1.9915997648177346,
53820060,3.987282656489386,4.5230384897519995,5.127008806939946,4.555024493509797,3.345858856620396,,2.9585801055734575,,2.2206283354532492,1.531593786233718,3.782144922506426,,,
160510000,3.4856825536357614,4.156736927745061,4.848668317505351,5.4568362573177,2.786711308909787,1.3862943611198906,3.424775523572045,,2.206817129816975,1.5919307439597128,3.881964940912453,,2.1838995696548125,
95730134,2.835808477877665,,3.4539355417324815,,2.8089576030840084,,3.918179127503199,,2.0804744058847615,,3.969391825336244,,,
92790113,,,,,,,,,3.397504194154122,,,,,
51240000,3.373101150477558,3.601248017481452,4.028642809059586,3.9803415186179154,2.6674697207076856,1.3862943611198906,2.92376658355668,2.364873040202743,2.0948049720824966,1.607164706470117,3.6244985153574314,1.7754197626690356,1.8855219756173658,1.905434705310256
64400016,2.91703280609221,,3.8121326984238735,,2.9163825226146294,,,,1.856370507565549,,,,1.9177792515648742,
145110000,3.1907241883022186,,4.1822537136118925,4.932813781359732,2.8817567329677147,,2.8829955045911633,,2.1807935173072135,1.4797122808548333,3.416127280698738,2.8357216681620936,2.020440649858353,
145230200,6.259389644567952,,7.958666540152766,,3.6913742973741557,,,,2.6426967664695384,,5.311177885689847,,,
51540036,3.596899458347261,2.653945025937371,4.981096822531871,,2.7892326833388696,1.3862943611198906,3.46357669637596,,2.177393772955161,1.6054921369686896,3.57103350214024,,2.0542056398682207,2.3192985344442514
81255008,2.3842795821237868,,5.094878786968857,,2.190825701430203,,,,1.8211014437672213,,,,1.9494307454738509,
53160000,3.4123148962886716,3.603535316324254,4.7889348013218145,4.918496696295716,2.7815626516367646,1.3862943611198906,2.6484109963459073,2.246555541884094,2.238288418802065,1.6650626958218548,3.7028105611354776,2.9328265365558512,1.9834617318597665,
65310016,2.98454664988748,,,,,,,,1.9255710303436047,,3.404398660882751,,,
145245104,4.035159910572249,,5.13550899186725,,2.8338839257626858,,2.5117222245638926,,2.1662208250800243,1.6641847476767586,4.366137026538524,,2.3910430526918294,
32410005,5.279154408304497,,7.47464153664436,,3.122576559419024,,5.044987148340848,,2.4766339348454403,,5.253997582208517,,2.1000963521728466,
97715701,,,8.605924120169377,,3.619710177114494,,,,2.948679650444317,,,,,
100410100,3.437291107883281,2.8124903888209936,3.900418439080717,4.775090730427195,2.74958973544806,1.3862943611198906,2.298187999306873,1.960578522123397,2.2441467878822223,1.6588957348852797,3.540404331416615,,1.9557184703609274,
32410001,3.606692522997617,4.583359425574399,4.821253207914583,4.801053446779838,2.588574253260721,1.386294361119889,3.068373372938388,2.32048380883466,2.208557603093192,1.7076111179867528,3.8568342401726126,3.0854315640508236,1.942629463740057,1.8857448615278696
66350011,3.8967424816610734,,5.2768080683345575,,3.454890063295518,,6.418895361584058,,2.2969088584314856,,4.501043879023871,,1.9850862227619266,
65350016,5.989807204275892,,8.815103208197932,14.405475320539978,3.750003995052856,,5.551871382954149,,2.995819721762674,,5.921571431736049,,,
34030000,3.8909442553405116,,5.015592998475842,,2.9418223673657438,,3.6609125768333945,,2.245161303803683,1.6627215025520772,4.041008626502414,,2.0792228168458085,
33530040,3.6651886339444717,,4.634436410206981,11.92409388041506,2.942634852800656,,4.028965618781691,,2.136121783265696,,4.568384684110603,,,
59130000,3.014384764222597,3.5741166193010767,3.624066181275627,4.617891225285219,2.7201251694057063,1.3862943611198906,2.8435974868886005,,2.075157437736459,1.7194143716037495,3.455347620334539,,2.0594116287369357,
33530031,4.328754114485404,6.149467682286279,4.5251637632151915,,3.1237610041770485,,3.4363882031135744,2.27764470989871,2.194091249987974,,4.152064114619578,,,
120540000,3.2511415183736307,5.693661590728346,4.397983665215443,8.74914107101048,2.718074565360086,1.3862943611198906,3.209033830998848,2.1823515113008756,2.1408767980849364,1.679454982099145,3.3065437021378177,2.2789295514036003,1.7934558646115424,2.0004755555227325
64310002,2.6162846047895414,,4.739630691144843,3.1251144596833087,2.951462922494273,,,,2.1198554938359284,,3.4005825461771937,,,
33520062,6.566623854239056,9.842022577046286,8.711676177181584,,3.904014316599063,,5.672332103488036,,3.1748889020508133,,6.244170579482461,,2.392182354868252,
51130000,3.1957728304499113,4.280850351416361,3.810060713073449,5.300564401279118,2.8182682608042233,1.3862943611198906,2.8517525482532524,3.323024732618034,2.027008768857138,1.7196622900609018,3.453228792898984,4.283785317097931,1.9347939111080457,1.784928402711829
33610001,3.286318904365617,,4.060462566927636,,3.05385463891052,,2.737261094884408,,1.9054981487145308,,3.0604522744918077,,1.6939362356686098,
91790134,2.7165757330467155,,3.7635922537780684,,,,,,,,3.614626897863644,,,
64110000,2.913082728269354,3.461878047209527,3.5775310162173124,4.116819766638244,2.497292041908486,1.3862943611198906,2.7037569750191475,2.09593759616055,2.0116179081774357,1.6297241370190618,3.2337026151737316,2.6979796718469955,1.9656200595372373,1.6669709349653257
51540064,3.531326664179016,,,,,,,,1.9496029108176425,,,,,
84165003,3.6019027783200683,,4.767962702959883,,3.0484931723591715,,3.391161720923033,,2.133980051717204,,4.021037483351476,,2.0797226306591896,
51110000,3.33486831473849,3.426549942627815,3.98973238620528,5.73912732014025,2.4793598853207692,1.3862943611198906,2.8941921774798707,3.3969945863587743,2.1473585736337175,1.4812072465423682,3.476655684933044,1.5426090263255166,1.8806476787512685,
53620040,3.9316837034392145,,4.97714145653783,,2.9697625197831914,,3.8507049638262805,,2.0556361871594886,,3.902001063159023,,,
33595407,6.112209487931072,,9.068339284427143,,3.472569069762786,,5.466428833678417,,2.834125154982277,1.853003172409801,5.86830761363475,,,
73140000,3.4400510445125665,2.5241170614588593,4.195444830766355,3.322099120569904,2.900479769500586,1.3862943611198906,2.7209186312405684,,2.168478656055204,1.587040397718454,3.591502182102972,,1.960944935116333,
82265005,3.1596023973931673,,3.3629463010173812,4.836333480199567,2.7829524267625114,,2.4236174794498924,,1.9229920470463453,,2.9844710498784472,,1.665884827535375,
82210000,3.0348537638137483,4.274790621857642,3.6808440457785427,5.82115437976288,2.656667244929689,1.3862943611198906,2.8005931914699316,2.5865729209611183,2.041843353250556,1.5422003970234393,3.4416541499091973,2.920135339698475,1.9199804223925492,1.6803500883820852
84150061,3.4925953807173844,3.221943793879779,4.050068767003814,7.396032845914039,2.852348343677634,,3.3746304950076746,2.09919990896529,2.1016715155581966,,3.6690075000221016,1.7976639985612977,1.947627623937629,
73180000,2.972070734819666,,4.117786638375982,,,,3.0678699790405823,,1.9684449631802046,1.4285053979377624,3.469140948962945,,1.821793695950495,
93765339,6.359004996034483,,,,,,,,3.0853500146832915,,,,,
55580032,,,6.685598688273671,,3.604335571565791,,,,1.919609512172085,,,,,
93775348,4.169396763946622,,6.03225154746989,,,,,,2.035711204898493,,3.743503990443791,,,
97740155,,,,,3.3208669003558993,,,,,,,,,
10515163,5.619940541631061,,5.024163990176713,,,,,,2.4859543354150295,,,,,
33525411,7.293373818840268,,10.020444218125279,,4.319783311129004,,6.578759952897893,,3.0698457347384833,,7.551345472706515,,2.828613255448749,
65330009,2.840033538024682,,4.017929132636386,6.826062197547529,2.8710744788174383,,3.0209177170122814,,1.9559731769767443,1.794068505977846,3.475303334173741,,,
160690024,3.6966852379741337,,5.191353063867135,,3.5937358964979778,,3.739819576033739,,2.4377168941326484,,4.050155610593125,,,
146255231,,,5.359608899014325,,,,,,,,,,,
97785767,,,,,3.750133153898073,,,,,,,,,
160665013,3.1578423623766305,,,,3.3681692436042256,,,,2.008898997591558,,,,2.4700802225431358,
100460117,3.4422074406912944,,3.804369359143942,,3.0956151020131277,,3.3144859592058364,,2.1512705938738517,,4.156382953566,,,
82355007,3.8537906527631045,,4.110280621612296,,3.116339667022266,,3.6403551991986447,,2.2822996651772494,,3.840452188229919,,1.9743501855898034,
120600020,4.278731224550729,,3.7032277536403533,,3.459364517340008,,,,1.892042080392227,,3.6366039258435574,,,
65310003,,,3.441961583311568,,3.7938875221215165,,,,,,,,,
53340004,2.81566622403615,,3.4961146585459772,,2.9864508701859047,,3.272174103459584,,2.0048825687628877,,3.687122391508423,,1.8069947094833672,1.6545918461936748
91770117,2.5326186782699884,,3.7163363898111728,,3.381233524679136,,3.244214832174438,,1.9789040570330847,,3.2630544116912445,,1.9247852714510068,
93730147,3.4607422512986243,2.501083041753075,4.119349686910459,5.8731703545148415,3.2274616957434685,1.3862943611198906,2.875076186653368,,2.1263030095560227,,4.02507624823641,,1.957401151023033,
53820020,3.3581541170844864,3.4436722107386797,4.434961887563871,,3.0921771421095996,,3.3254659247928067,,2.11753022405093,1.6702830238619315,4.037950233567907,,2.6342212251462365,
145235120,,,,,,,,,1.8068886942291218,,,,,
94780116,5.332175521552261,,5.056909137412279,,,,,,2.4104362340080026,,,,2.138511670374509,
53740012,3.536265382489216,,5.123318804960445,7.581831895121737,2.7307056426232035,,3.2338935748293363,,2.1804933878285397,1.6525811616873503,3.8953871951809105,,,
93730113,5.483589266579848,,7.013431855130976,,3.811574679359008,,4.8870336938242644,,2.8320725782880607,,5.278785576247992,,,
