index,commuting_no_car,commuting_car,business_no_car,business_car,education_no_car,education_car,buy/execute_no_car,buy/execute_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
DED2F_4,0.6433053401366037,0.596566727722245,0.5824298343433358,0.5910618765948635,0.7167901135480516,0.6581261323301717,0.7249152720569215,0.6683540604047884,0.7567570157417465,0.6954339869682961,0.6893925416922437,0.6381961083561734
DED2F_5,0.7032153250992487,0.6419798127878926,0.6685376895350676,0.6352740512027159,0.7596673098802883,0.7037235299322142,0.7720079381731118,0.7147538785509929,0.7118045636797191,0.6605483818273807,0.7595450264680684,0.705396375013657
DED2F_6,0.7176009978371152,0.6622819018758073,0.7116521307686862,0.6571929560039032,0.6672285154102672,0.6306942145477531,0.6782515335815349,0.6400333309366448,0.7327387449664708,0.6811416757415752,0.6227901136988911,0.5991671298799122
DED2F_7,0.6261595207463163,0.6058248765528397,0.5626308095382107,0.5867900181023598,0.6560420993059545,0.6065872127127214,0.6999617475792875,0.647692032829011,0.7426369036220462,0.6846628671673388,0.6698246471569848,0.6233198437801396
DED41_0,0.8036884327897956,0.736395901797144,0.8090191098340318,0.7333900714647141,0.7812785911212261,0.7435122833356554,0.8333763658249301,0.7878914681653078,0.8323238653750479,0.7852876276230186,0.8213540523363791,0.7809671815013384
DED42_0,0.7481310792164881,0.6688475448395682,0.7391811389517251,0.6698072469197971,0.6500550655186655,0.6132407148603799,0.7088816849660257,0.6644448382104048,0.679928037502278,0.6356134674439725,0.6231564844297751,0.597033107302472
DED42_1,0.564886574425394,0.584434495181107,0.5276441373905786,0.5827657059380189,0.6340533381769496,0.6036167467212149,0.5990842535476019,0.5784106795219754,0.5794107452090879,0.5574863937047316,0.6134586054669312,0.5943070150519566
DED42_10,0.6593065089424296,0.6342074995982067,0.6176392267314984,0.6318201428889174,0.523081646950511,0.5111460777925996,0.611703519404527,0.5914506673524593,0.5305078869723362,0.5242930145171703,0.5052389497756694,0.509678649526931
DED42_11,0.6757147901896731,0.6413953347553255,0.6720960259251839,0.6525363673763165,0.6167354931874711,0.5920445741971088,0.5868996754678234,0.5805814773780915,0.5677534895836749,0.5590465536991763,0.5808812461035079,0.5727547229805734
DED42_12,0.6131079984200206,0.5930150168388456,0.6279210910348317,0.6150131550513144,0.33298782624308004,0.3554671236870833,0.2625478638748565,0.31873860388482694,0.35667265554112004,0.38586511032023246,0.32303937507838926,0.3633452805699323
