urbanisation,NUTS1,hh_size,hh_income,is_working,is_learning,is_caring,pt_ticket,population
1,DE1,2.578201219512195,3.5388719512195124,0.5253048780487805,0.15030487804878048,0.028201219512195123,0.1350609756097561,3590181
1,DE2,2.517867312072893,3.610122437357631,0.5282602505694761,0.13304384965831434,0.029185649202733484,0.17153331435079724,4045052
1,DE3,2.3461538461538463,3.242397137745975,0.518783542039356,0.13148479427549195,0.014311270125223614,0.2146690518783542,3664088
1,DE4,2.4808917197452227,3.3646496815286624,0.49044585987261147,0.10987261146496816,0.007961783439490446,0.1159235668789809,632327
1,DE5,2.3394495412844036,3.3269986893840104,0.46854521625163825,0.09567496723460026,0.02948885976408912,0.1127129750982962,680130
1,DE6,2.3939180875373527,3.502197222710494,0.5535243452276323,0.11460713657936368,0.023202671822815962,0.19725786605730358,1852478
1,DE7,2.4900833002776674,3.4986116620388734,0.5105117017056724,0.14101547005156684,0.029155097183657278,0.1531535105117017,2257420
1,DE8,2.093655589123867,3.1374622356495467,0.40181268882175225,0.055891238670694864,0.013595166163141994,0.06374622356495468,304670
1,DE9,2.4124260355029588,3.4396449704142014,0.5236686390532544,0.13964497041420118,0.021301775147928994,0.12437869822485208,1788138
1,DEA,2.538595810705974,3.5164856477889836,0.5069821567106284,0.1407098525989139,0.03791698991466253,0.15648758727695888,10370483
1,DEB,2.4404761904761907,3.4265873015873014,0.4851190476190476,0.13690476190476192,0.02976190476190476,0.09940476190476191,863537
1,DEC,2.34375,3.5625,0.625,0.1015625,0.03125,0.07890625,179349
1,DED,2.431852986217458,3.0459418070444104,0.46248085758039814,0.12098009188361408,0.010719754977029096,0.1343032159264931,1569467
1,DEE,2.3532934131736525,3.122754491017964,0.47005988023952094,0.08083832335329341,0.008982035928143712,0.11167664670658682,552994
1,DEF,2.425951086956522,3.416440217391304,0.43953804347826086,0.11073369565217392,0.03260869565217391,0.09368206521739131,1009753
1,DEG,2.512770137524558,3.192534381139489,0.4931237721021611,0.11394891944990176,0.007858546168958742,0.11100196463654224,481647
2,DE1,2.8029142256271595,3.5143458014120474,0.5134444945170498,0.15998197386210006,0.034249662009914375,0.05328225927595013,6964730
2,DE2,2.771453001893361,3.4947779881512244,0.5032064985036341,0.1437122091247786,0.041043180846515606,0.05379588346668296,6298189
2,DE4,2.5949506037321624,3.2371020856201977,0.5104281009879253,0.10976948408342481,0.013172338090010977,0.0579582875960483,1421082
2,DE7,2.634018364669873,3.5029879026380994,0.4926395569159015,0.13030170529077395,0.036729339746392656,0.05997667978428801,3416345
2,DE8,2.381457891012031,3.205237084217976,0.5095541401273885,0.07784854918612881,0.007077140835102618,0.018188251946213728,1093375
2,DE9,2.630069708491762,3.453105196451204,0.47480988593155893,0.13181242078580482,0.03437896070975919,0.05185361216730038,4995231
2,DEA,2.6688922196484537,3.4613707589589864,0.47853931053277016,0.14770404687287098,0.04360267066357815,0.06360539583049461,6810248
2,DEB,2.7084846483988114,3.468801584681413,0.4998349290194784,0.14889402443050512,0.04456916474083856,0.04430505117200396,2962555
2,DEC,2.6496710526315788,3.4342105263157894,0.5279605263157895,0.12828947368421054,0.046052631578947366,0.04523026315789474,730453
2,DED,2.439701173959445,2.9722518676627536,0.48986125933831376,0.1056563500533618,0.012806830309498399,0.031910352187833516,2151786
2,DEE,2.2823834196891193,3.1191709844559585,0.5233160621761658,0.07772020725388601,0.012953367875647668,0.01139896373056995,1083204
2,DEF,2.5699020480854853,3.4323241317898487,0.45814781834372215,0.12154942119323241,0.033392698130008905,0.048486197684772935,1727239
2,DEG,2.5012953367875648,3.0634715025906734,0.49222797927461137,0.10880829015544041,0.0051813471502590676,0.019689119170984457,1147782
3,DE1,2.8038379530916844,3.4840085287846483,0.5330490405117271,0.14925373134328357,0.04477611940298507,0.02579957356076759,548132
3,DE2,3.023756906077348,3.4903314917127073,0.5383977900552486,0.18453038674033148,0.04116022099447514,0.04058011049723757,2787940
3,DE4,2.3825,3.2575,0.53,0.08,0.01,0.04475,477662
3,DE7,2.7820383451059536,3.325933400605449,0.508577194752775,0.14631685166498487,0.039354187689202826,0.029969727547931382,619389
3,DE8,2.439153439153439,3.0793650793650795,0.4708994708994709,0.10582010582010581,0.005291005291005291,0.014814814814814814,212729
3,DE9,2.765886287625418,3.280936454849498,0.5050167224080268,0.1516164994425864,0.03678929765886288,0.04169453734671126,1220052
3,DEA,2.8648860958366065,3.483110761979576,0.5302435192458759,0.1720345640219953,0.04713275726630008,0.04595443833464258,744839
3,DEB,2.7344632768361583,3.3502824858757063,0.4858757062146893,0.12994350282485875,0.04519774011299435,0.030508474576271188,272299
3,DEC,2.4623655913978495,3.3870967741935485,0.4731182795698925,0.10752688172043011,0.08602150537634409,0.046236559139784944,74189
3,DED,2.7254901960784315,3.0784313725490198,0.5588235294117647,0.08823529411764706,0.0196078431372549,0.03235294117647059,335688
3,DEE,2.4675324675324677,3.1948051948051948,0.5454545454545454,0.1038961038961039,0.006493506493506494,0.03831168831168831,544486
3,DEF,2.8255813953488373,3.395348837209302,0.43023255813953487,0.23255813953488372,0.046511627906976744,0.020930232558139535,173883
3,DEG,2.6232876712328768,3.2636986301369864,0.589041095890411,0.09931506849315068,0.00684931506849315,0.009246575342465754,490808
