index,education_many,education_few,shopping_many,shopping_few,leisure_many,leisure_few,accompany
10615168,25,0,16,0,30,2,23
10615179,9,0,11,0,19,2,9
10615189,33,0,57,2,51,3,27
10620001,60,1,112,4,94,9,70
10620004,52,1,94,6,48,4,55
10620006,50,1,47,0,34,5,77
10620009,27,0,35,4,21,3,18
10620018,20,0,44,0,37,0,27
10620023,12,0,33,5,19,2,27
10620053,29,0,30,3,15,0,5
10620060,49,2,67,6,81,1,61
10620061,23,5,45,0,22,3,25
10620076,13,0,14,0,15,5,4
10620090,10,1,33,0,34,0,19
10625207,14,0,3,0,16,0,6
10625218,12,0,26,0,41,1,7
10625244,16,0,4,0,18,0,9
10625262,10,0,21,3,28,0,11
10625270,20,0,50,0,45,2,19
20000000,3530,188,6591,405,4830,237,4629
31010000,440,167,1145,74,720,39,730
31020000,133,10,200,5,219,18,192
31030000,266,15,444,30,361,26,364
31510009,119,3,379,4,136,7,142
31510025,37,0,29,0,159,6,26
31510040,25,0,58,3,60,4,36
31515401,27,0,29,1,115,2,27
31515402,37,0,31,0,68,4,38
31515403,30,0,45,0,62,3,32
31515404,25,0,55,0,61,3,22
31515405,24,0,63,0,162,3,27
31515406,69,0,94,0,132,0,52
31515407,22,0,44,0,51,1,19
31519501,0,0,0,0,4,0,0
31530002,54,0,136,9,110,10,65
31530019,13,0,45,0,68,5,18
31530008,11,0,17,1,29,0,15
31530012,33,0,61,2,92,4,29
31530016,23,0,51,3,151,5,26
31530017,121,9,268,5,208,9,138
31530018,41,62,74,8,142,7,45
31535401,6,0,7,0,23,1,7
31539504,3,1,2,0,65,6,2
31540013,18,1,60,6,55,3,27
31540014,19,0,29,1,54,1,23
31540019,12,0,28,0,23,1,13
31540028,41,1,95,5,71,9,54
31545401,8,0,12,0,12,0,9
31545402,1,0,6,0,8,0,2
31545403,10,1,9,0,14,1,12
31545404,15,0,29,1,22,2,17
31549501,0,0,0,0,0,0,0
31549502,2,0,0,0,6,2,2
31549503,0,0,0,0,1,0,0
31549504,0,0,0,0,3,0,0
31549506,0,0,0,0,1,0,0
31550001,14,1,35,12,32,5,38
31550002,6,0,13,0,24,1,8
31550003,23,0,25,2,31,4,15
31550005,22,0,15,1,56,2,23
31550006,5,0,13,1,22,1,6
31550007,22,0,29,0,20,0,18
31550009,45,1,23,2,25,3,42
31550010,25,1,31,1,42,0,26
31550011,64,3,157,6,105,9,108
31550012,32,0,49,0,74,2,38
31550013,47,0,79,2,93,8,57
31559501,0,0,0,0,15,0,0
31570001,16,0,34,0,33,1,17
31570002,14,0,12,0,28,2,20
31570005,17,0,28,2,35,1,22
31570006,60,0,136,9,95,6,75
31570007,40,0,39,0,75,0,41
31570008,21,0,31,0,51,2,22
31570009,35,0,50,0,46,2,31
31580006,27,0,49,0,40,2,27
31580037,115,21,197,10,156,16,146
31580039,8,0,27,1,16,2,9
31585402,18,0,10,0,30,0,25
31585403,9,0,12,0,16,0,10
31585406,24,0,25,1,38,2,19
31585407,38,0,47,0,53,4,34
31589501,0,0,1,0,1,0,0
31589502,0,0,0,0,0,0,0
31589503,0,0,0,0,1,0,0
31590001,23,0,18,1,30,3,15
