,commuting_no_car,business_no_car,education_no_car,buy/execute_no_car,leisure_no_car,accompany_no_car,commuting_car,business_car,education_car,buy/execute_car,leisure_car,accompany_car
ASC_1,0.18180599040129414,-1.8848480740756546,-4.768230297648411,-0.5180629564498652,2.4759000348522795,0.6264357696924339,0.9716638824651874,0.7421905935419186,0.5251783834306836,0.7992767836893837,1.5896870186581813,0.26605515004037295
b_acc,0.044103514557358094,0.46611385092197005,0.7967262066868399,0.4728382096882072,-0.15118814557528942,-0.0409742168997394,-0.04016934211626197,-0.1037999339971097,-0.058423463353418734,0.0014977806028202572,-0.0561597435551588,-0.010075677897698731
b_attr,0.7332479015398432,0.7359569643535916,0.8918696992981304,0.9257817985535305,0.7099358223911566,0.8746268159070899,0.3208181003997005,0.3269519984818609,0.6877576042252179,0.674788513607581,0.5855256904425463,0.6876387176185751
b_pop,-0.5652911822019101,-0.5493939148595419,-0.5260867211283269,-0.5605969196208557,-0.28126577109326056,-0.5563731283784684,-0.17307891717674972,-0.19413521782279594,-0.3990996691555705,-0.38291237218538476,-0.2272701293456059,-0.4183306644867275
