urbanisation,commuting_no_car,commuting_car,business_no_car,business_car,education_no_car,education_car,buy/execute_no_car,buy/execute_car,leisure_no_car,leisure_car,accompany_no_car,accompany_car
1,0.8191065900044229,0.7231006297735495,0.7688679245283019,0.6601429015222119,0.8964346349745331,0.8677709968032549,0.9057447540419676,0.8176599347457977,0.8051251489868891,0.7304262070148357,0.8072727272727273,0.8135118306351183
2,0.5,0.39908773812718,0.6825396825396826,0.4491922876498176,0.6756756756756757,0.6167003862424131,0.7002724795640327,0.6484347183040727,0.6178010471204188,0.5539608250996707,0.8166666666666667,0.6352586975914363
3,0.6759259259259259,0.4740061162079511,0.5869565217391305,0.502472422974515,0.6071428571428571,0.6725729972548041,0.8468992248062015,0.703758824651784,0.7547770700636943,0.6042092470861183,0.84,0.7006934365424932
