,buy/execute_no_car,leisure_no_car,accompany_no_car,buy/execute_car,leisure_car,accompany_car
ASC_0,-1.1581560956099235,1.2820297326291088,5.830597151641794,-1.1944634950137358,1.5229896550407753,4.990403775227227
b_acc_0,1.6346550484463216,0.6628043904771744,0.15465146842587155,0.1538368988995178,0.44704646532958875,0.08750315148662417
b_acc_1,1.609452353964958,0.6473109847800856,0.08872310199023564,0.1833263413699671,0.4328287572694044,0.11707783614926746
b_acc_2,-0.019974478968130104,-0.013418463400264676,0.13203642724011844,0.02915351898311308,0.13294379639753787,0.017287551781399305
b_acc_3,-1.5520145811370418,0.023461266937741688,0.21893871939199994,-0.09990471040274891,0.06325442862386875,0.001877897857545482
b_acc_4,-0.7350968764998081,-0.6602822125943686,-0.3977717819733232,-0.23552360345765283,-0.13736534322807406,-0.22858977917887385
b_acc_5,-0.9370214657979138,-0.6598759663634987,-0.3977717819745623,-0.030888445370354692,-0.9387081045847427,-0.05765665596240128
b_in_0,0.288168824413731,0.017882268858981948,0.0461400593507026,0.12429098970620393,0.049534547030561545,-0.17566512373297424
b_in_1,0.11935278484901109,0.12762612700565315,-0.06279171231728614,0.022060565179775716,0.16754853767352773,-0.2318233939861651
b_in_2,-0.08944385426450731,0.14720431195456368,-0.3840314254945921,0.038408966863629095,0.1581573759269007,-0.3270363190835244
b_in_3,-0.19772970064346748,0.009577601618145653,0.5743550504933885,0.019156010529077398,0.02619050583066439,-0.25149862165464865
b_in_4,-0.17917739347497047,-0.15117466154805653,-0.08683598601567226,-0.2689978293548315,-0.43519057614252377,-0.10225612041265984
b_in_5,0.05882933913305062,-0.15111564784182463,-0.08683598601591351,0.06508129704985743,0.03375960998664094,1.025779578927877
b_pop_0,-0.054357181833845136,0.0012046479311121035,0.21575381820694386,0.16833843319103023,0.10538248928429148,0.13818794801357762
b_pop_1,-0.10941482105880633,0.07312497896631708,0.4141086877915287,0.0946047114704124,0.1806127090322942,0.22288282417932337
b_pop_2,0.18963067417483773,0.2874505924007111,0.18991529489118886,0.10677345352455322,0.19060242437876362,0.2384486223462363
b_pop_3,0.4575370435740462,0.07806981621153801,-0.31838531345023857,0.06890822686876587,-0.00507372571474682,-0.040433081731012135
b_pop_4,-0.4002130495694374,-0.21983925924025852,-0.3377971217616289,0.0935067411908959,-0.4874225455164876,0.12291434473722429
b_pop_5,-0.08318266524568636,-0.22001077634615407,-0.3377971217623294,-0.5321315662082684,0.015898648132901164,-0.7445006569983059
b_size_0,0.5043674822127223,0.3686972133562874,-0.7163489412904381,0.44917009359194715,-0.33175763675084735,-0.6711464499157929
b_size_1,0.2312469103855545,0.312007068888317,-0.0409941595257722,0.09242610561007705,-0.3504992643962879,-0.10260045877734829
b_size_2,-0.11221145889213797,0.053196809458615095,0.3018895010459561,-0.0017684928715235007,-0.4180604165706419,-0.032736539388761775
b_size_3,-0.27295751597348095,-0.9727060179968191,0.6002705387578859,-0.09077838259448741,-0.26723872180695424,0.26041625254212214
b_size_4,-0.6896184742356053,0.11904455022834029,-0.07240846949203485,-0.09048643877094126,1.8118516770403803,0.4620603258468696
b_size_5,0.33917305649990015,0.11976037603964634,-0.07240846949232756,-0.35856288497548244,-0.44429563743756856,0.02150686957040349
